[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (5): 
	- 
	- detail.html
	- index.html
	- my.bak
	- register.html

[GIN-debug] GET    /                         --> _/home/ubuntu/go_demo/myproject/controllers.IndexGet (3 handlers)
[GIN-debug] GET    /detail                   --> _/home/ubuntu/go_demo/myproject/controllers.DetailGet (3 handlers)
[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :80
signal: interrupt
[GIN-debug] [WARNING] Creating an Engine instance with the Logger and Recovery middleware already attached.

[GIN-debug] [WARNING] Running in "debug" mode. Switch to "release" mode in production.
 - using env:	export GIN_MODE=release
 - using code:	gin.SetMode(gin.ReleaseMode)

[GIN-debug] Loaded HTML Templates (5): 
	- 
	- detail.html
	- index.html
	- my.bak
	- register.html

[GIN-debug] GET    /                         --> _/home/ubuntu/go_demo/myproject/controllers.IndexGet (3 handlers)
[GIN-debug] GET    /detail                   --> _/home/ubuntu/go_demo/myproject/controllers.DetailGet (3 handlers)
[GIN-debug] GET    /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] HEAD   /static/*filepath         --> github.com/gin-gonic/gin.(*RouterGroup).createStaticHandler.func1 (3 handlers)
[GIN-debug] Listening and serving HTTP on :80
[GIN] 2019/05/10 - 20:16:50 | 200 |   49.255091ms |    183.57.54.43 | GET      /
[GIN] 2019/05/10 - 20:16:51 | 404 |        1.45µs |    183.57.54.43 | OPTIONS  /
[GIN] 2019/05/10 - 20:16:56 | 404 |       2.058µs |    183.57.54.43 | GET      /nice ports,/Trinity.txt.bak
[GIN] 2019/05/10 - 20:34:03 | 404 |       1.647µs |    202.29.52.15 | GET      /webdav/
[GIN] 2019/05/10 - 20:34:11 | 404 |       2.235µs |    202.29.52.15 | GET      /java.php
[GIN] 2019/05/10 - 20:34:12 | 404 |       1.902µs |    202.29.52.15 | GET      /_query.php
[GIN] 2019/05/10 - 20:34:15 | 404 |       2.332µs |    202.29.52.15 | GET      /test.php
[GIN] 2019/05/10 - 20:34:19 | 404 |        1.54µs |    202.29.52.15 | GET      /db_cts.php
[GIN] 2019/05/10 - 20:34:20 | 404 |       2.173µs |    202.29.52.15 | GET      /db_pma.php
[GIN] 2019/05/10 - 20:34:23 | 404 |       2.232µs |    202.29.52.15 | GET      /logon.php
[GIN] 2019/05/10 - 20:34:24 | 404 |       2.309µs |    202.29.52.15 | GET      /help-e.php
[GIN] 2019/05/10 - 20:34:28 | 404 |       2.201µs |    202.29.52.15 | GET      /license.php
[GIN] 2019/05/10 - 20:34:30 | 404 |       2.109µs |    202.29.52.15 | GET      /log.php
[GIN] 2019/05/10 - 20:34:35 | 404 |       1.994µs |    202.29.52.15 | GET      /hell.php
[GIN] 2019/05/10 - 20:34:39 | 404 |       1.776µs |    202.29.52.15 | GET      /pmd_online.php
[GIN] 2019/05/10 - 20:34:39 | 404 |       1.907µs |    202.29.52.15 | GET      /x.php
[GIN] 2019/05/10 - 20:34:40 | 404 |       2.003µs |    202.29.52.15 | GET      /shell.php
[GIN] 2019/05/10 - 20:34:43 | 404 |       2.458µs |    202.29.52.15 | GET      /htdocs.php
[GIN] 2019/05/10 - 20:34:43 | 404 |       1.924µs |    202.29.52.15 | GET      /b.php
[GIN] 2019/05/10 - 20:34:44 | 404 |       2.198µs |    202.29.52.15 | GET      /sane.php
[GIN] 2019/05/10 - 20:34:47 | 404 |       1.751µs |    202.29.52.15 | GET      /desktop.ini.php
[GIN] 2019/05/10 - 20:34:47 | 404 |        1.68µs |    202.29.52.15 | GET      /z.php
[GIN] 2019/05/10 - 20:34:48 | 404 |       2.107µs |    202.29.52.15 | GET      /lala.php
[GIN] 2019/05/10 - 20:34:51 | 404 |        1.98µs |    202.29.52.15 | GET      /lala-dpr.php
[GIN] 2019/05/10 - 20:34:51 | 404 |        2.22µs |    202.29.52.15 | GET      /wpc.php
[GIN] 2019/05/10 - 20:34:52 | 404 |       2.284µs |    202.29.52.15 | GET      /wpo.php
[GIN] 2019/05/10 - 20:34:55 | 404 |       6.572µs |    202.29.52.15 | GET      /t6nv.php
[GIN] 2019/05/10 - 20:34:56 | 404 |       2.055µs |    202.29.52.15 | GET      /muhstik.php
[GIN] 2019/05/10 - 20:34:59 | 404 |       1.785µs |    202.29.52.15 | GET      /text.php
[GIN] 2019/05/10 - 20:34:59 | 404 |       1.905µs |    202.29.52.15 | GET      /wp-config.php
[GIN] 2019/05/10 - 20:35:00 | 404 |       2.092µs |    202.29.52.15 | GET      /muhstik.php
[GIN] 2019/05/10 - 20:35:03 | 404 |       5.161µs |    202.29.52.15 | GET      /muhstik2.php
[GIN] 2019/05/10 - 20:35:03 | 404 |       1.716µs |    202.29.52.15 | GET      /muhstiks.php
[GIN] 2019/05/10 - 20:35:04 | 404 |       1.935µs |    202.29.52.15 | GET      /muhstik-dpr.php
[GIN] 2019/05/10 - 20:35:07 | 404 |       1.597µs |    202.29.52.15 | GET      /lol.php
[GIN] 2019/05/10 - 20:35:07 | 404 |       1.559µs |    202.29.52.15 | GET      /uploader.php
[GIN] 2019/05/10 - 20:35:08 | 404 |        2.11µs |    202.29.52.15 | GET      /cmd.php
[GIN] 2019/05/10 - 20:35:15 | 404 |        1.86µs |    202.29.52.15 | GET      /cmv.php
[GIN] 2019/05/10 - 20:35:15 | 404 |       1.806µs |    202.29.52.15 | GET      /cmdd.php
[GIN] 2019/05/10 - 20:35:15 | 404 |       1.616µs |    202.29.52.15 | GET      /knal.php
[GIN] 2019/05/10 - 20:35:16 | 404 |       2.004µs |    202.29.52.15 | GET      /cmd.php
[GIN] 2019/05/10 - 20:35:19 | 404 |       2.321µs |    202.29.52.15 | GET      /shell.php
